created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-07-06T20:03:20+00:00,1,43.00000,30.80000,20.68854,-101.26994,,,,
2024-07-06T20:06:08+00:00,2,40.00000,30.80000,20.68851,-101.26992,,,,
2024-07-06T20:07:03+00:00,3,42.00000,30.80000,20.68851,-101.26993,,,,
2024-07-06T20:07:42+00:00,4,41.00000,30.80000,20.68853,-101.26992,,,,
2024-07-06T20:09:11+00:00,5,44.00000,30.80000,20.68854,-101.26991,,,,
2024-07-06T20:09:29+00:00,6,43.00000,30.80000,20.68855,-101.26993,,,,
2024-07-06T20:10:32+00:00,7,44.00000,30.90000,20.68853,-101.26995,,,,
2024-07-06T20:11:41+00:00,8,43.00000,31.40000,20.68851,-101.26994,,,,
2024-07-06T20:12:34+00:00,9,43.00000,31.60000,20.68853,-101.26995,,,,
2024-07-06T20:13:22+00:00,10,42.00000,31.90000,20.68854,-101.26996,,,,
2024-07-06T20:13:40+00:00,11,42.00000,32.00000,20.68867,-101.27003,,,,
2024-07-06T20:13:59+00:00,12,42.00000,32.10000,20.68856,-101.26995,,,,
2024-07-06T20:14:17+00:00,13,42.00000,32.20000,20.68855,-101.26994,,,,
2024-07-06T20:14:37+00:00,14,42.00000,32.20000,20.68854,-101.26993,,,,
2024-07-06T20:15:57+00:00,15,41.00000,32.50000,20.68855,-101.26991,,,,
2024-07-06T20:18:15+00:00,16,40.00000,32.90000,20.68853,-101.26994,,,,
2024-07-06T20:20:57+00:00,17,40.00000,33.30000,20.68853,-101.26998,,,,
2024-07-06T20:22:50+00:00,18,40.00000,33.50000,20.68852,-101.26996,,,,
2024-07-06T20:23:07+00:00,19,39.00000,33.50000,20.68852,-101.26997,,,,
2024-07-06T20:23:25+00:00,20,39.00000,33.60000,20.68853,-101.26997,,,,
2024-07-06T20:23:40+00:00,21,39.00000,33.60000,20.68853,-101.26997,,,,
2024-07-06T20:23:58+00:00,22,39.00000,33.60000,20.68853,-101.26997,,,,
2024-07-06T20:27:01+00:00,23,39.00000,33.90000,20.68851,-101.26995,,,,
2024-07-06T20:27:18+00:00,24,39.00000,34.00000,20.68851,-101.26996,,,,
2024-07-06T20:29:34+00:00,25,39.00000,34.10000,20.68853,-101.26996,,,,
2024-07-06T20:30:41+00:00,26,38.00000,34.30000,20.68851,-101.26994,,,,
2024-07-06T20:30:59+00:00,27,38.00000,34.30000,20.68852,-101.26994,,,,
2024-07-06T20:32:50+00:00,28,38.00000,34.40000,20.68852,-101.26996,,,,
2024-07-06T20:33:08+00:00,29,38.00000,34.50000,20.68852,-101.26995,,,,
2024-07-06T20:35:23+00:00,30,37.00000,34.60000,20.68854,-101.26999,,,,
2024-07-06T20:37:39+00:00,31,37.00000,34.70000,20.68851,-101.26997,,,,
2024-07-06T20:38:20+00:00,32,37.00000,34.80000,20.68853,-101.26997,,,,
2024-07-06T20:38:37+00:00,33,37.00000,34.80000,20.68853,-101.26997,,,,
2024-07-06T20:40:29+00:00,34,36.00000,34.90000,20.68852,-101.26997,,,,
2024-07-06T20:40:46+00:00,35,36.00000,35.00000,20.68852,-101.26997,,,,
